goal_no_goal,Atalanta,Bologna,Cremonese,Empoli,Fiorentina,Inter,Juventus,Lazio,Lecce,Milan,Monza,Napoli,Roma,Salernitana,Sampdoria,Sassuolo,Spezia,Torino,Udinese,Verona
Goal,15,16,16,13,14,14,7,9,15,18,13,11,12,15,10,14,13,15,17,15
No Goal,13,12,12,15,14,14,21,19,13,10,15,17,16,13,18,14,15,13,11,13
