main_team,team_group,away_home,competition,n_matches,no_goal,goal_streak_weighted,no_goal_streak_weighted,tot_giornata,goal_streak_weighted_ratio,no_goal_streak_weighted_ratio,no_goal_ratio,goal_ratio
Wolfsburg,0,away,Bundesliga,5,4,11.0,19.0,30.0,0.36666666666666664,0.6333333333333333,0.8,0.19999999999999996
Wolfsburg,0,home,Bundesliga,6,3,66.0,51.0,117.0,0.5641025641025641,0.4358974358974359,0.5,0.5
Wolfsburg,1,away,Bundesliga,5,2,42.0,35.0,77.0,0.5454545454545454,0.45454545454545453,0.4,0.6
Wolfsburg,1,home,Bundesliga,4,0,42.0,0.0,42.0,1.0,0.0,0.0,1.0
Wolfsburg,2,away,Bundesliga,3,3,0.0,62.0,62.0,0.0,1.0,1.0,0.0
Wolfsburg,2,home,Bundesliga,3,2,8.0,15.0,23.0,0.34782608695652173,0.6521739130434783,0.6666666666666666,0.33333333333333337
Wolfsburg,all,away,Bundesliga,13,9,53.0,116.0,169.0,0.3136094674556213,0.6863905325443787,0.6923076923076923,0.3076923076923077
Wolfsburg,all,home,Bundesliga,13,5,116.0,66.0,182.0,0.6373626373626373,0.3626373626373626,0.38461538461538464,0.6153846153846154
Wolves,0,away,Premier League,4,2,46.0,24.0,70.0,0.6571428571428571,0.34285714285714286,0.5,0.5
Wolves,0,home,Premier League,6,4,19.0,68.0,87.0,0.21839080459770116,0.7816091954022989,0.6666666666666666,0.33333333333333337
Wolves,1,away,Premier League,6,3,51.0,26.0,77.0,0.6623376623376623,0.33766233766233766,0.5,0.5
Wolves,1,home,Premier League,3,3,0.0,44.0,44.0,0.0,1.0,1.0,0.0
Wolves,2,away,Premier League,5,1,70.0,5.0,75.0,0.9333333333333333,0.06666666666666667,0.2,0.8
Wolves,2,home,Premier League,5,4,28.0,54.0,82.0,0.34146341463414637,0.6585365853658537,0.8,0.19999999999999996
Wolves,all,away,Premier League,15,6,167.0,55.0,222.0,0.7522522522522522,0.24774774774774774,0.4,0.6
Wolves,all,home,Premier League,14,11,47.0,166.0,213.0,0.22065727699530516,0.7793427230046949,0.7857142857142857,0.2142857142857143
