main_team,team_group,competition,n_matches,team_has_scored,team_has_conceded_goal,team_has_scored_streak_weighted,team_has_conceded_goal_streak_weighted,tot_giornata,team_has_scored_streak_weighted_ratio,team_has_conceded_goal_streak_weighted_ratio,team_has_conceded_goal_ratio,team_has_scored_ratio
Almeria,0,La Liga,11,7,10,114.0,151.0,175.0,0.6514285714285715,0.8628571428571429,0.9090909090909091,0.6363636363636364
Almeria,1,La Liga,11,7,11,110.0,146.0,146.0,0.7534246575342466,1.0,1.0,0.6363636363636364
Almeria,2,La Liga,7,7,6,124.0,110.0,124.0,1.0,0.8870967741935484,0.8571428571428571,1.0
Almeria,all,La Liga,29,21,27,348.0,407.0,445.0,0.7820224719101123,0.9146067415730337,0.9310344827586207,0.7241379310344828
Arsenal,0,Premier League,9,8,7,115.0,95.0,134.0,0.8582089552238806,0.7089552238805971,0.7777777777777778,0.8888888888888888
Arsenal,1,Premier League,12,12,6,192.0,122.0,192.0,1.0,0.6354166666666666,0.5,1.0
Arsenal,2,Premier League,10,9,6,150.0,115.0,172.0,0.872093023255814,0.6686046511627907,0.6,0.9
Arsenal,all,Premier League,31,29,19,457.0,332.0,498.0,0.9176706827309237,0.6666666666666666,0.6129032258064516,0.9354838709677419
Aston Villa,0,Premier League,9,8,7,139.0,103.0,153.0,0.9084967320261438,0.673202614379085,0.7777777777777778,0.8888888888888888
Aston Villa,1,Premier League,10,7,6,135.0,63.0,159.0,0.8490566037735849,0.39622641509433965,0.6,0.7
Aston Villa,2,Premier League,12,10,7,173.0,92.0,186.0,0.9301075268817204,0.4946236559139785,0.5833333333333334,0.8333333333333334
Aston Villa,all,Premier League,31,25,20,447.0,258.0,498.0,0.8975903614457831,0.5180722891566265,0.6451612903225806,0.8064516129032258
Atalanta,0,Serie A,9,6,7,78.0,110.0,139.0,0.5611510791366906,0.7913669064748201,0.7777777777777778,0.6666666666666666
Atalanta,1,Serie A,12,9,8,122.0,147.0,197.0,0.6192893401015228,0.7461928934010152,0.6666666666666666,0.75
Atalanta,2,Serie A,9,9,6,129.0,105.0,129.0,1.0,0.813953488372093,0.6666666666666666,1.0
Atalanta,all,Serie A,30,24,21,329.0,362.0,465.0,0.7075268817204301,0.7784946236559139,0.7,0.8
Ath Bilbao,0,La Liga,9,3,6,59.0,104.0,161.0,0.36645962732919257,0.6459627329192547,0.6666666666666666,0.3333333333333333
Ath Bilbao,1,La Liga,10,6,6,92.0,97.0,153.0,0.6013071895424836,0.6339869281045751,0.6,0.6
Ath Bilbao,2,La Liga,10,8,6,99.0,91.0,131.0,0.7557251908396947,0.6946564885496184,0.6,0.8
Ath Bilbao,all,La Liga,29,17,18,250.0,292.0,445.0,0.5617977528089888,0.6561797752808989,0.6206896551724138,0.5862068965517241
Ath Madrid,0,La Liga,9,7,6,105.0,63.0,123.0,0.8536585365853658,0.5121951219512195,0.6666666666666666,0.7777777777777778
Ath Madrid,1,La Liga,11,10,6,169.0,91.0,183.0,0.9234972677595629,0.4972677595628415,0.5454545454545454,0.9090909090909091
Ath Madrid,2,La Liga,9,9,5,139.0,93.0,139.0,1.0,0.6690647482014388,0.5555555555555556,1.0
Ath Madrid,all,La Liga,29,26,17,413.0,247.0,445.0,0.9280898876404494,0.5550561797752809,0.5862068965517241,0.896551724137931
Augsburg,0,Bundesliga,11,10,9,152.0,127.0,153.0,0.9934640522875817,0.8300653594771242,0.8181818181818182,0.9090909090909091
Augsburg,1,Bundesliga,11,10,8,162.0,122.0,166.0,0.9759036144578314,0.7349397590361446,0.7272727272727273,0.9090909090909091
Augsburg,2,Bundesliga,6,3,6,45.0,87.0,87.0,0.5172413793103449,1.0,1.0,0.5
Augsburg,all,Bundesliga,28,23,23,359.0,336.0,406.0,0.8842364532019704,0.8275862068965517,0.8214285714285714,0.8214285714285714
Barcelona,0,La Liga,9,9,4,143.0,58.0,143.0,1.0,0.40559440559440557,0.4444444444444444,1.0
Barcelona,1,La Liga,9,7,1,76.0,14.0,106.0,0.7169811320754716,0.1320754716981132,0.1111111111111111,0.7777777777777778
Barcelona,2,La Liga,11,9,2,145.0,39.0,199.0,0.7286432160804021,0.19597989949748743,0.18181818181818182,0.8181818181818182
Barcelona,all,La Liga,29,25,7,364.0,111.0,448.0,0.8125,0.24776785714285715,0.2413793103448276,0.8620689655172413
Bayern Munich,0,Bundesliga,11,11,7,167.0,100.0,167.0,1.0,0.5988023952095808,0.6363636363636364,1.0
Bayern Munich,1,Bundesliga,11,10,9,152.0,146.0,159.0,0.9559748427672956,0.9182389937106918,0.8181818181818182,0.9090909090909091
Bayern Munich,2,Bundesliga,6,6,3,80.0,42.0,80.0,1.0,0.525,0.5,1.0
Bayern Munich,all,Bundesliga,28,27,19,399.0,288.0,406.0,0.9827586206896551,0.7093596059113301,0.6785714285714286,0.9642857142857143
Betis,0,La Liga,9,6,5,78.0,89.0,146.0,0.5342465753424658,0.6095890410958904,0.5555555555555556,0.6666666666666666
Betis,1,La Liga,10,8,7,111.0,88.0,126.0,0.8809523809523809,0.6984126984126984,0.7,0.8
Betis,2,La Liga,10,6,7,105.0,146.0,176.0,0.5965909090909091,0.8295454545454546,0.7,0.6
Betis,all,La Liga,29,20,19,294.0,323.0,448.0,0.65625,0.7209821428571429,0.6551724137931034,0.6896551724137931
Bochum,0,Bundesliga,12,5,10,99.0,151.0,185.0,0.5351351351351351,0.8162162162162162,0.8333333333333334,0.4166666666666667
Bochum,1,Bundesliga,11,8,9,100.0,100.0,139.0,0.7194244604316546,0.7194244604316546,0.8181818181818182,0.7272727272727273
Bochum,2,Bundesliga,5,4,5,59.0,82.0,82.0,0.7195121951219512,1.0,1.0,0.8
Bochum,all,Bundesliga,28,17,24,258.0,333.0,406.0,0.6354679802955665,0.8201970443349754,0.8571428571428571,0.6071428571428571
Bologna,0,Serie A,11,7,8,125.0,99.0,178.0,0.702247191011236,0.5561797752808989,0.7272727272727273,0.6363636363636364
