main_team,team_group,competition,n_matches,team_has_scored,team_has_conceded_goal,team_has_scored_streak_weighted,team_has_conceded_goal_streak_weighted,tot_giornata,team_has_scored_streak_weighted_ratio,team_has_conceded_goal_streak_weighted_ratio,team_has_conceded_goal_ratio,team_has_scored_ratio
Tottenham,2,Premier League,11,11,8,176.0,137.0,176.0,1.0,0.7784090909090909,0.7272727272727273,1.0
Tottenham,all,Premier League,31,27,22,422.0,359.0,498.0,0.8473895582329317,0.7208835341365462,0.7096774193548387,0.8709677419354839
Udinese,0,Serie A,11,7,8,87.0,129.0,169.0,0.514792899408284,0.7633136094674556,0.7272727272727273,0.6363636363636364
Udinese,1,Serie A,11,9,9,135.0,154.0,184.0,0.7336956521739131,0.8369565217391305,0.8181818181818182,0.8181818181818182
Udinese,2,Serie A,8,6,5,98.0,79.0,112.0,0.875,0.7053571428571429,0.625,0.75
Udinese,all,Serie A,30,22,22,320.0,362.0,465.0,0.6881720430107527,0.7784946236559139,0.7333333333333333,0.7333333333333333
Union Berlin,0,Bundesliga,10,7,8,105.0,113.0,148.0,0.7094594594594594,0.7635135135135135,0.8,0.7
Union Berlin,1,Bundesliga,10,8,6,115.0,102.0,140.0,0.8214285714285714,0.7285714285714285,0.6,0.8
Union Berlin,2,Bundesliga,8,7,4,97.0,44.0,118.0,0.8220338983050848,0.3728813559322034,0.5,0.875
Union Berlin,all,Bundesliga,28,22,18,317.0,259.0,406.0,0.7807881773399015,0.6379310344827587,0.6428571428571429,0.7857142857142857
Valencia,0,La Liga,11,5,9,88.0,136.0,174.0,0.5057471264367817,0.7816091954022989,0.8181818181818182,0.45454545454545453
Valencia,1,La Liga,11,8,8,95.0,132.0,165.0,0.5757575757575758,0.8,0.7272727272727273,0.7272727272727273
Valencia,2,La Liga,7,5,7,67.0,106.0,106.0,0.6320754716981132,1.0,1.0,0.7142857142857143
Valencia,all,La Liga,29,18,24,250.0,374.0,445.0,0.5617977528089888,0.8404494382022472,0.8275862068965517,0.6206896551724138
Valladolid,0,La Liga,12,5,9,112.0,159.0,199.0,0.5628140703517588,0.7989949748743719,0.75,0.4166666666666667
