main_team,team_group,competition,away_home,n_matches,team_has_scored,team_has_conceded_goal,team_has_scored_streak_weighted,team_has_conceded_goal_streak_weighted,tot_giornata,team_has_scored_streak_weighted_ratio,team_has_conceded_goal_streak_weighted_ratio,team_has_conceded_goal_ratio,team_has_scored_ratio
RB Leipzig,all,Bundesliga,home,13,12,8,156.0,128.0,182.0,0.8571428571428571,0.7032967032967034,0.6153846153846154,0.9230769230769231
Real Madrid,0,La Liga,away,5,4,3,67.0,49.0,92.0,0.7282608695652174,0.532608695652174,0.6,0.8
Real Madrid,0,La Liga,home,4,3,3,37.0,37.0,56.0,0.6607142857142857,0.6607142857142857,0.75,0.75
Real Madrid,1,La Liga,away,4,3,3,38.0,36.0,59.0,0.6440677966101694,0.6101694915254238,0.75,0.75
Real Madrid,1,La Liga,home,5,5,5,49.0,49.0,49.0,1.0,1.0,1.0,1.0
Real Madrid,2,La Liga,away,5,5,2,37.0,4.0,37.0,1.0,0.10810810810810811,0.4,1.0
Real Madrid,2,La Liga,home,4,4,1,93.0,26.0,93.0,1.0,0.27956989247311825,0.25,1.0
Real Madrid,all,La Liga,away,14,12,8,142.0,89.0,188.0,0.7553191489361702,0.4734042553191489,0.5714285714285714,0.8571428571428571
Real Madrid,all,La Liga,home,13,12,9,179.0,112.0,198.0,0.9040404040404041,0.5656565656565656,0.6923076923076923,0.9230769230769231
Roma,0,Serie A,away,5,4,5,48.0,75.0,75.0,0.64,1.0,1.0,0.8
Roma,0,Serie A,home,4,1,3,25.0,31.0,56.0,0.44642857142857145,0.5535714285714286,0.75,0.25
Roma,1,Serie A,away,3,2,3,20.0,25.0,25.0,0.8,1.0,1.0,0.6666666666666666
Roma,1,Serie A,home,6,6,2,100.0,41.0,100.0,1.0,0.41,0.3333333333333333,1.0
Roma,2,Serie A,away,6,6,3,88.0,58.0,88.0,1.0,0.6590909090909091,0.5,1.0
Roma,2,Serie A,home,4,4,1,62.0,9.0,62.0,1.0,0.14516129032258066,0.25,1.0
Roma,all,Serie A,away,14,12,11,156.0,158.0,188.0,0.8297872340425532,0.8404255319148937,0.7857142857142857,0.8571428571428571
Roma,all,Serie A,home,14,11,6,187.0,81.0,218.0,0.8577981651376146,0.37155963302752293,0.42857142857142855,0.7857142857142857
Salernitana,0,Serie A,away,5,4,5,62.0,72.0,72.0,0.8611111111111112,1.0,1.0,0.8
Salernitana,0,Serie A,home,5,1,5,16.0,80.0,80.0,0.2,1.0,1.0,0.2
Salernitana,1,Serie A,away,5,2,4,18.0,41.0,43.0,0.4186046511627907,0.9534883720930233,0.8,0.4
Salernitana,1,Serie A,home,4,4,3,73.0,49.0,73.0,1.0,0.6712328767123288,0.75,1.0
Salernitana,2,Serie A,away,4,2,3,48.0,70.0,95.0,0.5052631578947369,0.7368421052631579,0.75,0.5
Salernitana,2,Serie A,home,5,5,3,43.0,29.0,43.0,1.0,0.6744186046511628,0.6,1.0
Salernitana,all,Serie A,away,14,8,12,128.0,183.0,210.0,0.6095238095238096,0.8714285714285714,0.8571428571428571,0.5714285714285714
Salernitana,all,Serie A,home,14,10,11,132.0,158.0,196.0,0.673469387755102,0.8061224489795918,0.7857142857142857,0.7142857142857143
Sampdoria,0,Serie A,away,5,1,5,26.0,110.0,110.0,0.23636363636363636,1.0,1.0,0.2
Sampdoria,0,Serie A,home,7,2,5,10.0,38.0,62.0,0.16129032258064516,0.6129032258064516,0.7142857142857143,0.2857142857142857
Sampdoria,1,Serie A,away,5,3,5,46.0,78.0,78.0,0.5897435897435898,1.0,1.0,0.6
Sampdoria,1,Serie A,home,4,1,4,23.0,63.0,63.0,0.36507936507936506,1.0,1.0,0.25
Sampdoria,2,Serie A,away,4,3,3,23.0,15.0,26.0,0.8846153846153846,0.5769230769230769,0.75,0.75
Sampdoria,2,Serie A,home,3,1,2,27.0,42.0,67.0,0.40298507462686567,0.6268656716417911,0.6666666666666666,0.3333333333333333
Sampdoria,all,Serie A,away,14,7,13,95.0,203.0,214.0,0.4439252336448598,0.9485981308411215,0.9285714285714286,0.5
Sampdoria,all,Serie A,home,14,4,11,60.0,143.0,192.0,0.3125,0.7447916666666666,0.7857142857142857,0.2857142857142857
Sassuolo,0,Serie A,away,5,3,5,56.0,69.0,69.0,0.8115942028985508,1.0,1.0,0.6
Sassuolo,0,Serie A,home,6,3,4,44.0,64.0,89.0,0.4943820224719101,0.7191011235955056,0.6666666666666666,0.5
Sassuolo,1,Serie A,away,6,4,5,65.0,86.0,93.0,0.6989247311827957,0.9247311827956989,0.8333333333333334,0.6666666666666666
Sassuolo,1,Serie A,home,2,2,2,34.0,34.0,34.0,1.0,1.0,1.0,1.0
Sassuolo,2,Serie A,away,3,2,1,27.0,3.0,32.0,0.84375,0.09375,0.3333333333333333,0.6666666666666666
Sassuolo,2,Serie A,home,6,6,3,89.0,52.0,89.0,1.0,0.5842696629213483,0.5,1.0
Sassuolo,all,Serie A,away,14,9,11,148.0,158.0,194.0,0.7628865979381443,0.8144329896907216,0.7857142857142857,0.6428571428571429
Sassuolo,all,Serie A,home,14,11,9,167.0,150.0,212.0,0.7877358490566038,0.7075471698113207,0.6428571428571429,0.7857142857142857
Schalke 04,0,Bundesliga,away,4,0,3,0.0,32.0,53.0,0.0,0.6037735849056604,0.75,0.0
Schalke 04,0,Bundesliga,home,6,3,6,45.0,98.0,98.0,0.45918367346938777,1.0,1.0,0.5
Schalke 04,1,Bundesliga,away,5,3,3,39.0,39.0,61.0,0.639344262295082,0.639344262295082,0.6,0.6
Schalke 04,1,Bundesliga,home,6,3,3,24.0,20.0,72.0,0.3333333333333333,0.2777777777777778,0.5,0.5
Schalke 04,2,Bundesliga,away,3,3,2,39.0,16.0,39.0,1.0,0.41025641025641024,0.6666666666666666,1.0
