main_team,opponent_team,goal_fatti,no_goal,goal,tot_goals,goal_subiti,away_home,result,team_has_scored,giornata,goal_no_goal,team_has_conceded_goal,competition,position,playedGames,form,won,draw,lost,points,goalsFor,goalsAgainst,goalDifference,team_short_name,team_group
Torino,Verona,1,False,True,2,1,home,Draw,True,16.0,Goal,True,Serie A,18,29,,5,7,17,22,24,43,-19,Verona,2
Lecce,Lazio,2,False,True,3,1,home,Win,True,16.0,Goal,True,Serie A,2,29,,17,7,5,58,46,20,26,Lazio,0
Roma,Bologna,1,True,False,1,0,home,Win,True,16.0,No Goal,False,Serie A,8,29,,12,7,10,43,38,36,2,Bologna,1
Cremonese,Juventus,0,True,False,1,1,home,Loss,False,16.0,No Goal,True,Serie A,7,29,,18,5,6,44,47,24,23,Juventus,0
Fiorentina,Monza,1,False,True,2,1,home,Draw,True,16.0,Goal,True,Serie A,13,29,,9,8,12,35,34,41,-7,Monza,1
Inter,Napoli,1,True,False,1,0,home,Win,True,16.0,No Goal,False,Serie A,1,29,,24,2,3,74,66,21,45,Napoli,0
Udinese,Empoli,1,False,True,2,1,home,Draw,True,16.0,Goal,True,Serie A,14,29,,7,11,11,32,25,36,-11,Empoli,1
Fiorentina,Sassuolo,2,False,True,3,1,home,Win,True,17.0,Goal,True,Serie A,12,29,,10,7,12,37,37,43,-6,Sassuolo,1
Juventus,Udinese,1,True,False,1,0,home,Win,True,17.0,No Goal,False,Serie A,10,29,,9,12,8,39,39,36,3,Udinese,1
Monza,Inter,2,False,True,4,2,home,Draw,True,17.0,Goal,True,Serie A,5,29,,16,3,10,51,48,33,15,Inter,0
Salernitana,Torino,1,False,True,2,1,home,Draw,True,17.0,Goal,True,Serie A,11,29,,10,8,11,38,30,35,-5,Torino,1
Lazio,Empoli,2,False,True,4,2,home,Draw,True,17.0,Goal,True,Serie A,14,29,,7,11,11,32,25,36,-11,Empoli,1
Spezia,Lecce,0,True,False,0,0,home,Draw,False,17.0,No Goal,False,Serie A,16,29,,6,9,14,27,25,35,-10,Lecce,2
Sampdoria,Napoli,0,True,False,2,2,home,Loss,False,17.0,No Goal,True,Serie A,1,29,,24,2,3,74,66,21,45,Napoli,0
Milan,Roma,2,False,True,4,2,home,Draw,True,17.0,Goal,True,Serie A,3,29,,16,5,8,53,39,26,13,Roma,0
Verona,Cremonese,2,True,False,2,0,home,Win,True,17.0,No Goal,False,Serie A,19,29,,2,10,17,16,26,54,-28,Cremonese,2
Bologna,Atalanta,1,False,True,3,2,home,Loss,True,17.0,Goal,True,Serie A,6,29,,14,6,9,48,47,34,13,Atalanta,0
Napoli,Juventus,5,False,True,6,1,home,Win,True,18.0,Goal,True,Serie A,7,29,,18,5,6,44,47,24,23,Juventus,0
Cremonese,Monza,2,False,True,5,3,home,Loss,True,18.0,Goal,True,Serie A,13,29,,9,8,12,35,34,41,-7,Monza,1
Lecce,Milan,2,False,True,4,2,home,Draw,True,18.0,Goal,True,Serie A,4,29,,15,7,7,52,48,36,12,Milan,0
Inter,Verona,1,True,False,1,0,home,Win,True,18.0,No Goal,False,Serie A,18,29,,5,7,17,22,24,43,-19,Verona,2
Sassuolo,Lazio,0,True,False,2,2,home,Loss,False,18.0,No Goal,True,Serie A,2,29,,17,7,5,58,46,20,26,Lazio,0
Torino,Spezia,0,True,False,1,1,home,Loss,False,18.0,No Goal,True,Serie A,17,29,,5,11,13,26,25,45,-20,Spezia,2
Udinese,Bologna,1,False,True,3,2,home,Loss,True,18.0,Goal,True,Serie A,8,29,,12,7,10,43,38,36,2,Bologna,1
Atalanta,Salernitana,8,False,True,10,2,home,Win,True,18.0,Goal,True,Serie A,15,29,,6,11,12,29,33,49,-16,Salernitana,2
Roma,Fiorentina,2,True,False,2,0,home,Win,True,18.0,No Goal,False,Serie A,9,29,,11,8,10,41,34,32,2,Fiorentina,1
Empoli,Sampdoria,1,True,False,1,0,home,Win,True,18.0,No Goal,False,Serie A,20,29,,3,6,20,15,18,50,-32,Sampdoria,2
Verona,Lecce,2,True,False,2,0,home,Win,True,19.0,No Goal,False,Serie A,16,29,,6,9,14,27,25,35,-10,Lecce,2
Salernitana,Napoli,0,True,False,2,2,home,Loss,False,19.0,No Goal,True,Serie A,1,29,,24,2,3,74,66,21,45,Napoli,0
Fiorentina,Torino,0,True,False,1,1,home,Loss,False,19.0,No Goal,True,Serie A,11,29,,10,8,11,38,30,35,-5,Torino,1
Sampdoria,Udinese,0,True,False,1,1,home,Loss,False,19.0,No Goal,True,Serie A,10,29,,9,12,8,39,39,36,3,Udinese,1
Monza,Sassuolo,1,False,True,2,1,home,Draw,True,19.0,Goal,True,Serie A,12,29,,10,7,12,37,37,43,-6,Sassuolo,1
Spezia,Roma,0,True,False,2,2,home,Loss,False,19.0,No Goal,True,Serie A,3,29,,16,5,8,53,39,26,13,Roma,0
Juventus,Atalanta,3,False,True,6,3,home,Draw,True,19.0,Goal,True,Serie A,6,29,,14,6,9,48,47,34,13,Atalanta,0
Bologna,Cremonese,1,False,True,2,1,home,Draw,True,19.0,Goal,True,Serie A,19,29,,2,10,17,16,26,54,-28,Cremonese,2
Inter,Empoli,0,True,False,1,1,home,Loss,False,19.0,No Goal,True,Serie A,14,29,,7,11,11,32,25,36,-11,Empoli,1
Lazio,Milan,4,True,False,4,0,home,Win,True,19.0,No Goal,False,Serie A,4,29,,15,7,7,52,48,36,12,Milan,0
Bologna,Spezia,2,True,False,2,0,home,Win,True,20.0,No Goal,False,Serie A,17,29,,5,11,13,26,25,45,-20,Spezia,2
Lecce,Salernitana,1,False,True,3,2,home,Loss,True,20.0,Goal,True,Serie A,15,29,,6,11,12,29,33,49,-16,Salernitana,2
Empoli,Torino,2,False,True,4,2,home,Draw,True,20.0,Goal,True,Serie A,11,29,,10,8,11,38,30,35,-5,Torino,1
