n_matches,main_team,team_group,competition,no_goal,no_goal_streak_weighted,goal_streak_weighted,tot_giornata,no_goal_streak_weighted_ratio,goal_streak_weighted_ratio,no_goal_ratio,goal_ratio,curr_giornata,last_giornata
28,M'gladbach,all,Bundesliga,11,179.0,227.0,406.0,0.4408866995073892,0.5591133004926109,0.39285714285714285,0.6071428571428572,28,28.0
11,Mainz,0,Bundesliga,3,32.0,126.0,158.0,0.20253164556962025,0.7974683544303798,0.2727272727272727,0.7272727272727273,28,28.0
11,Mainz,1,Bundesliga,6,84.0,84.0,168.0,0.5,0.5,0.5454545454545454,0.4545454545454546,28,28.0
6,Mainz,2,Bundesliga,1,14.0,66.0,80.0,0.175,0.825,0.16666666666666666,0.8333333333333334,28,28.0
28,Mainz,all,Bundesliga,10,130.0,276.0,406.0,0.32019704433497537,0.6798029556650246,0.35714285714285715,0.6428571428571428,28,28.0
9,RB Leipzig,0,Bundesliga,3,23.0,98.0,121.0,0.19008264462809918,0.8099173553719008,0.3333333333333333,0.6666666666666667,28,28.0
12,RB Leipzig,1,Bundesliga,6,101.0,78.0,179.0,0.5642458100558659,0.43575418994413406,0.5,0.5,28,28.0
7,RB Leipzig,2,Bundesliga,3,60.0,46.0,106.0,0.5660377358490566,0.4339622641509434,0.42857142857142855,0.5714285714285714,28,28.0
28,RB Leipzig,all,Bundesliga,12,184.0,222.0,406.0,0.45320197044334976,0.5467980295566502,0.42857142857142855,0.5714285714285714,28,28.0
10,Schalke 04,0,Bundesliga,7,106.0,45.0,151.0,0.7019867549668874,0.2980132450331126,0.7,0.30000000000000004,28,28.0
12,Schalke 04,1,Bundesliga,7,111.0,49.0,160.0,0.69375,0.30625,0.5833333333333334,0.41666666666666663,28,28.0
6,Schalke 04,2,Bundesliga,1,23.0,72.0,95.0,0.24210526315789474,0.7578947368421053,0.16666666666666666,0.8333333333333334,28,28.0
28,Schalke 04,all,Bundesliga,15,240.0,166.0,406.0,0.5911330049261084,0.4088669950738916,0.5357142857142857,0.4642857142857143,28,28.0
13,Stuttgart,0,Bundesliga,5,64.0,127.0,191.0,0.33507853403141363,0.6649214659685864,0.38461538461538464,0.6153846153846154,28,28.0
10,Stuttgart,1,Bundesliga,4,69.0,68.0,137.0,0.5036496350364964,0.49635036496350365,0.4,0.6,28,28.0
5,Stuttgart,2,Bundesliga,0,0.0,78.0,78.0,0.0,1.0,0.0,1.0,28,28.0
28,Stuttgart,all,Bundesliga,9,133.0,273.0,406.0,0.3275862068965517,0.6724137931034483,0.32142857142857145,0.6785714285714286,28,28.0
10,Union Berlin,0,Bundesliga,5,78.0,70.0,148.0,0.527027027027027,0.47297297297297297,0.5,0.5,28,28.0
10,Union Berlin,1,Bundesliga,4,38.0,102.0,140.0,0.2714285714285714,0.7285714285714285,0.4,0.6,28,28.0
8,Union Berlin,2,Bundesliga,4,74.0,44.0,118.0,0.6271186440677966,0.3728813559322034,0.5,0.5,28,28.0
28,Union Berlin,all,Bundesliga,13,190.0,216.0,406.0,0.46798029556650245,0.5320197044334976,0.4642857142857143,0.5357142857142857,28,28.0
11,Werder Bremen,0,Bundesliga,3,52.0,112.0,164.0,0.3170731707317073,0.6829268292682927,0.2727272727272727,0.7272727272727273,28,28.0
11,Werder Bremen,1,Bundesliga,2,16.0,153.0,169.0,0.09467455621301775,0.9053254437869822,0.18181818181818182,0.8181818181818181,28,28.0
6,Werder Bremen,2,Bundesliga,4,58.0,15.0,73.0,0.7945205479452054,0.2054794520547945,0.6666666666666666,0.33333333333333337,28,28.0
28,Werder Bremen,all,Bundesliga,9,126.0,280.0,406.0,0.3103448275862069,0.6896551724137931,0.32142857142857145,0.6785714285714286,28,28.0
12,Wolfsburg,0,Bundesliga,8,98.0,77.0,175.0,0.56,0.44,0.6666666666666666,0.33333333333333337,28,28.0
10,Wolfsburg,1,Bundesliga,3,62.0,84.0,146.0,0.4246575342465753,0.5753424657534246,0.3,0.7,28,28.0
6,Wolfsburg,2,Bundesliga,5,77.0,8.0,85.0,0.9058823529411765,0.09411764705882353,0.8333333333333334,0.16666666666666663,28,28.0
28,Wolfsburg,all,Bundesliga,16,237.0,169.0,406.0,0.583743842364532,0.41625615763546797,0.5714285714285714,0.4285714285714286,28,28.0
11,Almeria,0,La Liga,5,85.0,90.0,175.0,0.4857142857142857,0.5142857142857142,0.45454545454545453,0.5454545454545454,30,30.0
11,Almeria,1,La Liga,4,36.0,110.0,146.0,0.2465753424657534,0.7534246575342466,0.36363636363636365,0.6363636363636364,30,30.0
7,Almeria,2,La Liga,1,14.0,110.0,124.0,0.11290322580645161,0.8870967741935484,0.14285714285714285,0.8571428571428572,30,30.0
29,Almeria,all,La Liga,10,135.0,310.0,445.0,0.30337078651685395,0.6966292134831461,0.3448275862068966,0.6551724137931034,30,30.0
9,Ath Bilbao,0,La Liga,8,144.0,17.0,161.0,0.8944099378881988,0.10559006211180125,0.8888888888888888,0.11111111111111116,30,30.0
10,Ath Bilbao,1,La Liga,5,75.0,78.0,153.0,0.49019607843137253,0.5098039215686274,0.5,0.5,30,30.0
10,Ath Bilbao,2,La Liga,5,44.0,87.0,131.0,0.33587786259541985,0.6641221374045801,0.5,0.5,30,30.0
29,Ath Bilbao,all,La Liga,18,263.0,182.0,445.0,0.5910112359550562,0.40898876404494383,0.6206896551724138,0.3793103448275862,30,30.0
9,Ath Madrid,0,La Liga,5,78.0,45.0,123.0,0.6341463414634146,0.36585365853658536,0.5555555555555556,0.4444444444444444,30,30.0
11,Ath Madrid,1,La Liga,6,106.0,77.0,183.0,0.5792349726775956,0.4207650273224044,0.5454545454545454,0.4545454545454546,30,30.0
9,Ath Madrid,2,La Liga,4,46.0,93.0,139.0,0.33093525179856115,0.6690647482014388,0.4444444444444444,0.5555555555555556,30,30.0
29,Ath Madrid,all,La Liga,15,230.0,215.0,445.0,0.5168539325842697,0.48314606741573035,0.5172413793103449,0.48275862068965514,30,30.0
9,Barcelona,0,La Liga,5,85.0,58.0,143.0,0.5944055944055944,0.40559440559440557,0.5555555555555556,0.4444444444444444,30,30.0
9,Barcelona,1,La Liga,8,92.0,14.0,106.0,0.8679245283018868,0.1320754716981132,0.8888888888888888,0.11111111111111116,30,30.0
11,Barcelona,2,La Liga,10,184.0,15.0,199.0,0.9246231155778895,0.07537688442211055,0.9090909090909091,0.09090909090909094,30,30.0
29,Barcelona,all,La Liga,23,361.0,87.0,448.0,0.8058035714285714,0.19419642857142858,0.7931034482758621,0.2068965517241379,30,30.0
9,Betis,0,La Liga,5,85.0,61.0,146.0,0.5821917808219178,0.4178082191780822,0.5555555555555556,0.4444444444444444,30,30.0
10,Betis,1,La Liga,4,45.0,81.0,126.0,0.35714285714285715,0.6428571428571429,0.4,0.6,30,30.0
10,Betis,2,La Liga,6,91.0,85.0,176.0,0.5170454545454546,0.48295454545454547,0.6,0.4,30,30.0
29,Betis,all,La Liga,15,221.0,227.0,448.0,0.49330357142857145,0.5066964285714286,0.5172413793103449,0.48275862068965514,30,30.0
12,Cadiz,0,La Liga,9,133.0,47.0,180.0,0.7388888888888889,0.2611111111111111,0.75,0.25,30,30.0
10,Cadiz,1,La Liga,8,123.0,20.0,143.0,0.8601398601398601,0.13986013986013987,0.8,0.19999999999999996,30,30.0
7,Cadiz,2,La Liga,2,29.0,93.0,122.0,0.23770491803278687,0.7622950819672131,0.2857142857142857,0.7142857142857143,30,30.0
29,Cadiz,all,La Liga,19,285.0,160.0,445.0,0.6404494382022472,0.3595505617977528,0.6551724137931034,0.3448275862068966,30,30.0
10,Celta,0,La Liga,4,56.0,77.0,133.0,0.42105263157894735,0.5789473684210527,0.4,0.6,30,30.0
