n_matches,main_team,team_group,competition,no_goal,no_goal_streak_weighted,goal_streak_weighted,tot_giornata,no_goal_streak_weighted_ratio,goal_streak_weighted_ratio,no_goal_ratio,goal_ratio,curr_giornata,last_giornata
10,Napoli,2,Serie A,6,115.0,43.0,158.0,0.7278481012658228,0.2721518987341772,0.6,0.4,30,30.0
30,Napoli,all,Serie A,18,326.0,139.0,465.0,0.7010752688172043,0.2989247311827957,0.6,0.4,30,30.0
9,Roma,0,Serie A,5,83.0,48.0,131.0,0.6335877862595419,0.366412213740458,0.5555555555555556,0.4444444444444444,30,30.0
11,Roma,1,Serie A,7,123.0,61.0,184.0,0.6684782608695652,0.33152173913043476,0.6363636363636364,0.36363636363636365,30,30.0
10,Roma,2,Serie A,6,83.0,67.0,150.0,0.5533333333333333,0.44666666666666666,0.6,0.4,30,30.0
30,Roma,all,Serie A,18,289.0,176.0,465.0,0.621505376344086,0.37849462365591396,0.6,0.4,30,30.0
11,Salernitana,0,Serie A,5,74.0,107.0,181.0,0.4088397790055249,0.5911602209944752,0.45454545454545453,0.5454545454545454,30,30.0
10,Salernitana,1,Serie A,4,49.0,97.0,146.0,0.3356164383561644,0.6643835616438356,0.4,0.6,30,30.0
9,Salernitana,2,Serie A,4,61.0,77.0,138.0,0.4420289855072464,0.5579710144927537,0.4444444444444444,0.5555555555555556,30,30.0
30,Salernitana,all,Serie A,13,184.0,281.0,465.0,0.3956989247311828,0.6043010752688172,0.43333333333333335,0.5666666666666667,30,30.0
12,Sampdoria,0,Serie A,9,136.0,36.0,172.0,0.7906976744186046,0.20930232558139536,0.75,0.25,30,30.0
9,Sampdoria,1,Serie A,5,72.0,69.0,141.0,0.5106382978723404,0.48936170212765956,0.5555555555555556,0.4444444444444444,30,30.0
9,Sampdoria,2,Serie A,4,54.0,98.0,152.0,0.35526315789473684,0.6447368421052632,0.4444444444444444,0.5555555555555556,30,30.0
30,Sampdoria,all,Serie A,18,262.0,203.0,465.0,0.5634408602150538,0.43655913978494626,0.6,0.4,30,30.0
12,Sassuolo,0,Serie A,7,109.0,79.0,188.0,0.5797872340425532,0.42021276595744683,0.5833333333333334,0.41666666666666663,30,30.0
8,Sassuolo,1,Serie A,3,35.0,92.0,127.0,0.2755905511811024,0.7244094488188977,0.375,0.625,30,30.0
10,Sassuolo,2,Serie A,5,66.0,84.0,150.0,0.44,0.56,0.5,0.5,30,30.0
30,Sassuolo,all,Serie A,15,210.0,255.0,465.0,0.45161290322580644,0.5483870967741935,0.5,0.5,30,30.0
11,Spezia,0,Serie A,8,113.0,55.0,168.0,0.6726190476190477,0.3273809523809524,0.7272727272727273,0.2727272727272727,30,30.0
12,Spezia,1,Serie A,5,75.0,109.0,184.0,0.4076086956521739,0.592391304347826,0.4166666666666667,0.5833333333333333,30,30.0
7,Spezia,2,Serie A,3,53.0,60.0,113.0,0.4690265486725664,0.5309734513274337,0.42857142857142855,0.5714285714285714,30,30.0
30,Spezia,all,Serie A,16,241.0,224.0,465.0,0.5182795698924731,0.4817204301075269,0.5333333333333333,0.4666666666666667,30,30.0
11,Torino,0,Serie A,6,96.0,63.0,159.0,0.6037735849056604,0.39622641509433965,0.5454545454545454,0.4545454545454546,30,30.0
10,Torino,1,Serie A,4,72.0,82.0,154.0,0.4675324675324675,0.5324675324675324,0.4,0.6,30,30.0
9,Torino,2,Serie A,4,63.0,89.0,152.0,0.4144736842105263,0.5855263157894737,0.4444444444444444,0.5555555555555556,30,30.0
30,Torino,all,Serie A,14,231.0,234.0,465.0,0.4967741935483871,0.5032258064516129,0.4666666666666667,0.5333333333333333,30,30.0
11,Udinese,0,Serie A,5,87.0,82.0,169.0,0.514792899408284,0.48520710059171596,0.45454545454545453,0.5454545454545454,30,30.0
11,Udinese,1,Serie A,4,79.0,105.0,184.0,0.42934782608695654,0.5706521739130435,0.36363636363636365,0.6363636363636364,30,30.0
8,Udinese,2,Serie A,3,33.0,79.0,112.0,0.29464285714285715,0.7053571428571429,0.375,0.625,30,30.0
30,Udinese,all,Serie A,12,199.0,266.0,465.0,0.42795698924731185,0.5720430107526882,0.4,0.6,30,30.0
11,Verona,0,Serie A,7,122.0,44.0,166.0,0.7349397590361446,0.26506024096385544,0.6363636363636364,0.36363636363636365,30,30.0
11,Verona,1,Serie A,3,44.0,116.0,160.0,0.275,0.725,0.2727272727272727,0.7272727272727273,30,30.0
8,Verona,2,Serie A,4,83.0,56.0,139.0,0.5971223021582733,0.4028776978417266,0.5,0.5,30,30.0
30,Verona,all,Serie A,14,249.0,216.0,465.0,0.535483870967742,0.4645161290322581,0.4666666666666667,0.5333333333333333,30,30.0
